"SIGLA_UF","n_cattle","n_cattle_sd","pasture_201819_tot","pasture_201819_perc","defo_abs_13_17","defo_perc_wo_refo_13_17","defo_buffer_abs_13_17","defo_buffer_perc_13_17","mod_deg_sum_201819","mod_deg_perc_201819","sev_deg_sum_201819","sev_deg_perc_201819","crop_201819_tot","crop_201819_perc","agricultural_credits","mean_mun_msg4_1317","area","buffer_forest_tot_2013","precipitation_2018_19","mean_temp_18_19","population","nearest_fedSh","IBGE_CODE","outline_id","imagedate","stocking_rate"
"AC",10,0.08,9.435,100,0,0,557.6477,1.549,9.2137,97.65,0,0,0,0,4123.69234,0,9.414,57.940702,0.402445620612094,33.3413600023281,15.256,74.1629517422975,"1200013","AC_1200013_2",2020-05-16 19:00:00,1.37784843667197
"AC",6,0.0455391610986702,40.2845,76.38,0,0,1846.5939,4.795,0.3129,0.59,0,0,0,0,4123.69234,0,52.628,69.488453,0.402445620612094,33.3413600023281,15.256,84.9821482616905,"1200013","AC_1200013_6",2019-07-11 19:00:00,0.193622857426554
"AC",12,0.041298221281347,35.2188,86.9,0,0,1102.2295,3.022,3.2289,7.97,0,0,0,0,4123.69234,0,40.438,54.532484,0.402445620612094,33.3413600023281,15.256,80.6177759165892,"1200013","AC_1200013_6",2019-07-11 19:00:00,0.442945245153157
"AC",6,0.0350735462684472,28.3196,76.18,11.8389,19.631,1422.3348,3.781,3.2911,8.85,0,0,0,0,4123.69234,0,37.092,59.080872,0.402445620612094,33.3413600023281,15.256,81.8625031726187,"1200013","AC_1200013_1",2019-07-10 19:00:00,0.275427619034167
"AC",8,0.108316324759439,40.1402,92.53,3.8315,8.183,628.4949,1.633,8.7402,20.15,1.9999,4.61,0,0,4123.69234,0,43.283,72.086904,0.402445620612094,33.3413600023281,15.256,79.6992803328659,"1200013","AC_1200013_5",2019-07-10 19:00:00,0.259091882950259
"AC",10,0.024325212770526,16.8621,42.41,0.1691,-0.18,549.3632,1.416,0,0,0,0,0,0,4123.69234,0,39.674,63.741723,0.402445620612094,33.3413600023281,15.256,78.0516832700915,"1200013","AC_1200013_5",2019-07-10 19:00:00,0.770959726249993
"AC",8,0.273038237651904,8.1362,100,0,0,671.007,1.85,8.1362,100,0,0,0,0,4123.69234,0,8.118,53.641729,0.402445620612094,33.3413600023281,15.256,77.225250616566,"1200013","AC_1200013_2",2020-05-16 19:00:00,1.27823799808264
"AC",14,0.257979589711327,14.0876,100,0,0,723.0835,1.979,10.7778,76.51,2.7902,19.81,0,0,4123.69234,0,14.056,56.322532,0.402445620612094,33.3413600023281,15.256,76.0015032063915,"1200013","AC_1200013_2",2020-05-16 19:00:00,1.29191629518158
"AC",23,0.114285714285714,9.8362,98.5,0,0,631.8431,1.736,0.5305,5.35,0,0,0,0,4123.69234,0,9.889,57.949674,0.402445620612094,33.3413600023281,15.256,76.6040817655181,"1200013","AC_1200013_2",2020-05-16 19:00:00,3.03979178951221
"AC",27,0.0815096472658165,48.2719,87.86,0.0458,-0.603,636.2298,1.623,21.7289,39.55,0,0,0,0,4123.69234,0,54.82,71.595939,0.402445620612094,33.3413600023281,15.256,78.7710611098692,"1200013","AC_1200013_5",2019-07-10 19:00:00,0.727131105259996
"AC",19,0.177979589711327,21.4076,100,0,0,673.6758,1.814,0.9835,4.59,0,0,0,0,4123.69234,0,21.36,57.542916,0.402445620612094,33.3413600023281,15.256,75.237533889118,"1200013","AC_1200013_2",2020-05-16 19:00:00,1.15379584820344
"AC",10,0.0741581623797196,49.4586,87.97,6.7794,12.059,1733.5717,4.586,6.0141,10.7,0,0,0,0,4123.69234,0,56.094,71.91899,0.402445620612094,33.3413600023281,15.256,84.7368281968997,"1200013","AC_1200013_1",2019-07-10 19:00:00,0.262846097544209
"AC",43,0.0548562720129048,109.8771,91.45,0,-0.009,625.1069,1.554,11.0472,9.19,0,0,0,0,4123.69234,0,119.877,69.90076,0.402445620612094,33.3413600023281,15.256,77.9745229090508,"1200013","AC_1200013_5",2019-07-10 19:00:00,0.508750230939841
"AC",14,0.0832192224875248,44.4964,97.86,0,-1.653,779.7915,2.03,30.8003,67.74,1.6386,3.6,0,0,4123.69234,0,45.37,59.134617,0.402445620612094,33.3413600023281,15.256,76.367757422715,"1200013","AC_1200013_2",2020-05-16 19:00:00,0.409021853453313
"AC",5,0.148316324759439,8.9046,100,1.9185,19.694,653.5369,1.796,8.9046,100,0,0,0,0,4123.69234,0,8.885,54.594885,0.402445620612094,33.3413600023281,15.256,76.2121242208577,"1200013","AC_1200013_2",2020-05-16 19:00:00,0.729959796060463
"AC",8,0.0825343216607239,77.8941,94.57,1.16,1.408,942.8229,2.29,14.731,17.88,0,0,0,0,4123.69234,0,82.187,78.145432,0.402445620612094,33.3413600023281,15.256,76.1245239068847,"1200013","AC_1200013_4",2019-07-10 19:00:00,0.133514605085623
